owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
stdlib-js/stdlib,JAVASCRIPT,good-first-issue,2.098E-01,False,0.05967144,negligible,False,Min=0;Median=0.000;Mean=0.102;Max=2;std_dev=0.351,Min=0;Median=0.000;Mean=0.027;Max=1;std_dev=0.164
strapi/strapi,JAVASCRIPT,good first issue,2.200E-16,False,0.9405245,large,False,Min=0;Median=4.000;Mean=5.086;Max=18;std_dev=3.471,Min=0;Median=0.000;Mean=0.150;Max=2;std_dev=0.381
Studio-42/elFinder,JAVASCRIPT,PR Welcome,7.720E-01,True,0.01152006,negligible,False,Min=0;Median=0.000;Mean=0.414;Max=3;std_dev=0.664,Min=0;Median=0.000;Mean=0.406;Max=3;std_dev=0.678
Tencent/omi,JAVASCRIPT,help wanted,2.918E-03,False,0.1195462,negligible,False,Min=0;Median=0.000;Mean=0.271;Max=2;std_dev=0.532,Min=0;Median=0.000;Mean=0.230;Max=7;std_dev=0.876
thelounge/thelounge,JAVASCRIPT,help wanted,,,,,True,,
transloadit/uppy,JAVASCRIPT,Help Wanted,1.368E-09,False,0.5712074,large,False,Min=0;Median=1.000;Mean=1.283;Max=8;std_dev=1.449,Min=0;Median=0.000;Mean=0.105;Max=4;std_dev=0.649
trufflesuite/truffle,JAVASCRIPT,help wanted,1.543E-02,False,0.2086777,small,False,Min=0;Median=1.000;Mean=0.804;Max=7;std_dev=0.946,Min=0;Median=0.000;Mean=0.477;Max=3;std_dev=0.731
TryGhost/Ghost,JAVASCRIPT,help wanted,,,,,True,,
twbs/bootstrap,JAVASCRIPT,help wanted,2.200E-16,False,-0.650315,large,False,Min=0;Median=6.000;Mean=6.228;Max=32;std_dev=3.646,Min=0;Median=11.000;Mean=13.826;Max=58;std_dev=9.035
vector-im/riot-web,JAVASCRIPT,Help Wanted,,,,,True,,
vega/vega,JAVASCRIPT,help-wanted,1.154E-07,False,0.2144145,small,False,Min=0;Median=0.000;Mean=0.492;Max=3;std_dev=0.769,Min=0;Median=0.000;Mean=0.157;Max=2;std_dev=0.385
VulcanJS/Vulcan,JAVASCRIPT,up for grabs,9.532E-01,True,0.003175546,negligible,False,Min=0;Median=0.000;Mean=0.728;Max=7;std_dev=1.110,Min=0;Median=0.000;Mean=0.677;Max=4;std_dev=0.967
WordPress/gutenberg,JAVASCRIPT,Good First Issue,,,,,True,,
xwiki-labs/cryptpad,JAVASCRIPT,help wanted,4.698E-04,False,0.1983601,small,False,Min=0;Median=0.000;Mean=0.268;Max=3;std_dev=0.500,Min=0;Median=0.000;Mean=0.048;Max=1;std_dev=0.215
YMFE/yapi,JAVASCRIPT,help wanted,6.772E-14,False,0.4540771,medium,False,Min=0;Median=0.000;Mean=0.683;Max=3;std_dev=0.826,Min=0;Median=0.000;Mean=0.042;Max=1;std_dev=0.201
Zarel/Pokemon-Showdown,JAVASCRIPT,good first issue,2.667E-05,False,0.2034004,small,False,Min=0;Median=1.000;Mean=1.106;Max=6;std_dev=1.240,Min=0;Median=0.000;Mean=0.664;Max=4;std_dev=0.892
ampache/ampache,PHP,help wanted,9.825E-04,False,0.1929451,small,False,Min=0;Median=0.000;Mean=0.333;Max=3;std_dev=0.572,Min=0;Median=0.000;Mean=0.106;Max=2;std_dev=0.356
ampproject/amp-wp,PHP,Support,,,,,True,,
Automattic/jetpack,PHP,Hacktoberfest,3.191E-01,False,0.1029024,negligible,False,Min=0;Median=1.000;Mean=1.726;Max=29;std_dev=2.099,Min=0;Median=1.000;Mean=1.438;Max=6;std_dev=1.501
bolt/bolt,PHP,low hanging fruit,5.529E-02,False,0.1275355,negligible,False,Min=0;Median=0.000;Mean=0.720;Max=6;std_dev=0.980,Min=0;Median=0.000;Mean=0.549;Max=5;std_dev=0.983
CachetHQ/Cachet,PHP,Help Wanted,,,,,True,,
cakephp/cakephp,PHP,support,3.971E-04,False,0.1778819,small,False,Min=0;Median=2.000;Mean=1.786;Max=8;std_dev=1.442,Min=0;Median=1.000;Mean=1.408;Max=8;std_dev=1.516
codeigniter4/CodeIgniter4,PHP,help wanted,2.415E-08,False,0.5485447,large,False,Min=0;Median=1.000;Mean=1.149;Max=7;std_dev=1.313,Min=0;Median=0.000;Mean=0.059;Max=1;std_dev=0.239
composer/composer,PHP,Good First Issue,3.329E-13,False,0.7049995,large,False,Min=0;Median=2.000;Mean=2.542;Max=12;std_dev=1.826,Min=0;Median=0.000;Mean=0.541;Max=4;std_dev=0.989
directus/directus,PHP,Good First Issue,2.200E-16,False,0.8781273,large,False,Min=0;Median=4.000;Mean=3.769;Max=14;std_dev=2.541,Min=0;Median=0.000;Mean=0.289;Max=4;std_dev=0.613
doctrine/annotations,PHP,Hacktoberfest,9.334E-02,False,0.07913897,negligible,False,Min=0;Median=0.000;Mean=0.361;Max=2;std_dev=0.603,Min=0;Median=0.000;Mean=0.262;Max=3;std_dev=0.534
doctrine/dbal,PHP,Hacktoberfest,9.740E-02,False,0.07810036,negligible,False,Min=0;Median=1.000;Mean=1.467;Max=8;std_dev=1.379,Min=0;Median=1.000;Mean=1.301;Max=7;std_dev=1.348
doctrine/orm,PHP,Hacktoberfest,,,,,True,,
Dolibarr/dolibarr,PHP,good first issue,2.200E-16,False,0.4713877,medium,False,Min=0;Median=1.000;Mean=1.456;Max=31;std_dev=2.265,Min=0;Median=0.000;Mean=0.284;Max=3;std_dev=0.535
drush-ops/drush,PHP,good first issue,7.250E-01,True,-0.02316503,negligible,False,Min=0;Median=1.000;Mean=0.939;Max=4;std_dev=1.035,Min=0;Median=1.000;Mean=1.028;Max=7;std_dev=1.177
elementor/elementor,PHP,help wanted,,,,,True,,
Elgg/Elgg,PHP,easy,5.880E-01,True,0.01929182,negligible,False,Min=0;Median=0.000;Mean=0.253;Max=3;std_dev=0.543,Min=0;Median=0.000;Mean=0.239;Max=3;std_dev=0.563
forkcms/forkcms,PHP,Easy Pick,6.897E-01,True,0.01561574,negligible,False,Min=0;Median=0.000;Mean=0.228;Max=3;std_dev=0.509,Min=0;Median=0.000;Mean=0.221;Max=3;std_dev=0.545
FriendsOfPHP/PHP-CS-Fixer,PHP,easy pick,8.032E-05,False,0.1979686,small,False,Min=0;Median=1.000;Mean=1.096;Max=4;std_dev=1.040,Min=0;Median=1.000;Mean=0.771;Max=8;std_dev=1.038
getgrav/grav,PHP,help wanted,,,,,True,,
glpi-project/glpi,PHP,good first issue,8.042E-02,False,0.1657748,small,False,Min=0;Median=0.000;Mean=0.522;Max=7;std_dev=0.808,Min=0;Median=0.000;Mean=0.267;Max=2;std_dev=0.521
humhub/humhub,PHP,Support,4.014E-04,False,0.3351206,medium,False,Min=0;Median=0.000;Mean=0.568;Max=4;std_dev=0.816,Min=0;Median=0.000;Mean=0.133;Max=3;std_dev=0.571
invoiceninja/invoiceninja,PHP,Hacktoberfest,1.420E-01,False,0.2435644,small,False,Min=0;Median=1.000;Mean=1.200;Max=4;std_dev=1.317,Min=0;Median=0.000;Mean=0.649;Max=4;std_dev=0.877
joomla/joomla-cms,PHP,good first issue,3.512E-01,False,0.07487868,negligible,False,Min=0;Median=2.000;Mean=2.929;Max=10;std_dev=2.709,Min=0;Median=2.000;Mean=2.316;Max=18;std_dev=1.949
laravel/framework,PHP,help wanted,2.200E-16,False,0.5534464,large,False,Min=3;Median=13.000;Mean=14.222;Max=35;std_dev=5.372,Min=0;Median=9.000;Mean=9.193;Max=28;std_dev=4.670
librenms/librenms,PHP,Help Wanted,2.200E-16,False,0.8304942,large,False,Min=0;Median=3.000;Mean=2.908;Max=19;std_dev=2.193,Min=0;Median=0.000;Mean=0.259;Max=3;std_dev=0.565
magento/magento2,PHP,up for grabs,2.200E-16,False,0.8211359,large,False,Min=0;Median=5.000;Mean=5.779;Max=35;std_dev=5.042,Min=0;Median=0.000;Mean=0.484;Max=4;std_dev=0.763
matomo-org/matomo,PHP,Help wanted,2.644E-09,False,0.5207115,large,False,Min=0;Median=1.000;Mean=0.920;Max=8;std_dev=1.166,Min=0;Median=0.000;Mean=0.025;Max=1;std_dev=0.158
mautic/mautic,PHP,hacktoberfest,2.200E-16,False,0.4762351,large,False,Min=0;Median=1.000;Mean=1.380;Max=6;std_dev=1.330,Min=0;Median=0.000;Mean=0.393;Max=4;std_dev=0.790
MISP/MISP,PHP,good first issue,2.200E-16,False,0.4753316,large,False,Min=0;Median=1.000;Mean=0.813;Max=4;std_dev=0.931,Min=0;Median=0.000;Mean=0.076;Max=1;std_dev=0.265
nextcloud/server,PHP,good first issue,,,,,True,,
openemr/openemr,PHP,help wanted,3.103E-14,False,0.2602853,small,False,Min=0;Median=0.000;Mean=0.538;Max=4;std_dev=0.861,Min=0;Median=0.000;Mean=0.119;Max=2;std_dev=0.350
opnsense/core,PHP,support,,,,,True,,
owncloud/core,PHP,junior job,,,,,True,,
passbolt/passbolt_api,PHP,help wanted,1.519E-01,False,0.08472307,negligible,False,Min=0;Median=0.000;Mean=0.117;Max=1;std_dev=0.322,Min=0;Median=0.000;Mean=0.032;Max=1;std_dev=0.180
phalcon/cphalcon,PHP,help wanted,1.910E-03,False,-0.1581884,small,False,Min=0;Median=0.000;Mean=0.507;Max=3;std_dev=0.721,Min=0;Median=1.000;Mean=0.845;Max=4;std_dev=1.042
phan/phan,PHP,probably easy,,,,,True,,
phpmyadmin/phpmyadmin,PHP,newbie,1.133E-04,False,0.3521277,medium,False,Min=0;Median=1.000;Mean=1.300;Max=6;std_dev=1.334,Min=0;Median=0.000;Mean=0.550;Max=3;std_dev=0.876
pimcore/pimcore,PHP,PR Welcome,2.200E-16,False,0.5153629,large,False,Min=0;Median=1.000;Mean=1.255;Max=10;std_dev=1.511,Min=0;Median=0.000;Mean=0.171;Max=2;std_dev=0.417
PrestaShop/PrestaShop,PHP,Trivial,1.327E-03,False,0.1762675,small,False,Min=0;Median=3.000;Mean=3.293;Max=21;std_dev=2.448,Min=0;Median=2.000;Mean=2.620;Max=7;std_dev=1.687
rectorphp/rector,PHP,easy pick,,,,,True,,
roundcube/roundcubemail,PHP,trivial,4.644E-03,False,0.1390742,negligible,False,Min=0;Median=1.000;Mean=0.955;Max=4;std_dev=0.958,Min=0;Median=1.000;Mean=0.725;Max=5;std_dev=0.878
salesagility/SuiteCRM,PHP,Help Wanted,2.390E-09,False,0.3214528,small,False,Min=0;Median=1.000;Mean=1.056;Max=7;std_dev=1.215,Min=0;Median=0.000;Mean=0.435;Max=3;std_dev=0.713
sebastianbergmann/phpunit,PHP,good first issue,6.423E-01,True,0.02920499,negligible,False,Min=0;Median=1.000;Mean=1.124;Max=7;std_dev=1.242,Min=0;Median=1.000;Mean=1.057;Max=8;std_dev=1.182
sonata-project/SonataAdminBundle,PHP,Easy Pick,1.482E-01,False,0.08651198,negligible,False,Min=0;Median=1.000;Mean=1.665;Max=7;std_dev=1.453,Min=0;Median=1.000;Mean=1.468;Max=6;std_dev=1.457
splitbrain/dokuwiki,PHP,good first issue,3.102E-07,False,0.2148407,small,False,Min=0;Median=0.000;Mean=0.639;Max=5;std_dev=0.829,Min=0;Median=0.000;Mean=0.308;Max=2;std_dev=0.552
Sylius/Sylius,PHP,Help Wanted,2.200E-16,False,0.7462396,large,False,Min=0;Median=2.000;Mean=1.752;Max=12;std_dev=1.449,Min=0;Median=0.000;Mean=0.105;Max=2;std_dev=0.407
symfony/symfony-docs,PHP,good first issue,2.200E-16,False,0.882603,large,False,Min=0;Median=5.000;Mean=5.315;Max=21;std_dev=2.997,Min=0;Median=0.000;Mean=0.732;Max=7;std_dev=1.341
symfony/symfony,PHP,Good first issue,2.200E-16,False,0.8306197,large,False,Min=1;Median=6.000;Mean=7.039;Max=43;std_dev=4.698,Min=0;Median=0.000;Mean=1.342;Max=11;std_dev=2.369
top-think/framework,PHP,help wanted,3.164E-01,False,-0.07699456,negligible,False,Min=0;Median=1.000;Mean=0.856;Max=4;std_dev=1.016,Min=0;Median=1.000;Mean=1.048;Max=4;std_dev=1.165
vanilla/vanilla,PHP,Good first contribution,4.924E-02,False,-0.06825975,negligible,False,Min=0;Median=0.000;Mean=0.271;Max=3;std_dev=0.547,Min=0;Median=0.000;Mean=0.343;Max=3;std_dev=0.574
woocommerce/woocommerce,PHP,good first issue,2.200E-16,False,0.54428,large,False,Min=0;Median=5.000;Mean=4.756;Max=18;std_dev=2.762,Min=0;Median=2.000;Mean=2.315;Max=9;std_dev=1.844
wp-cli/wp-cli,PHP,good-first-issue,5.552E-04,False,0.2154478,small,False,Min=0;Median=1.000;Mean=0.782;Max=5;std_dev=0.945,Min=0;Median=0.000;Mean=0.412;Max=3;std_dev=0.660
yiisoft/yii,PHP,Easy Pick,,,,,True,,
yiisoft/yii2,PHP,complexity:easy,2.200E-16,False,0.7595438,large,False,Min=0;Median=3.000;Mean=3.878;Max=19;std_dev=2.769,Min=0;Median=0.000;Mean=0.808;Max=10;std_dev=1.643
Yoast/wordpress-seo,PHP,support,4.296E-03,False,0.2289933,small,False,Min=0;Median=1.000;Mean=0.986;Max=13;std_dev=1.219,Min=0;Median=0.000;Mean=0.588;Max=4;std_dev=0.963
zendframework/zend-code,PHP,help wanted,,,,,True,,
zendframework/zend-eventmanager,PHP,help wanted,,,,,True,,
ZoneMinder/zoneminder,PHP,Help Wanted,,,,,True,,
aio-libs/aiohttp,PYTHON,good first issue,4.478E-14,False,0.6111057,large,False,Min=0;Median=2.000;Mean=1.975;Max=12;std_dev=1.710,Min=0;Median=0.000;Mean=0.446;Max=3;std_dev=0.685
andresriancho/w3af,PYTHON,easy,1.830E-05,False,0.2078775,small,False,Min=0;Median=0.000;Mean=0.243;Max=3;std_dev=0.513,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
angr/angr,PYTHON,help wanted,3.229E-03,False,0.2730948,small,False,Min=0;Median=0.000;Mean=0.646;Max=5;std_dev=0.876,Min=0;Median=0.000;Mean=0.265;Max=3;std_dev=0.666
ansible/ansible,PYTHON,easyfix,2.200E-16,False,0.5254342,large,False,Min=2;Median=16.000;Mean=18.011;Max=49;std_dev=10.785,Min=0;Median=8.000;Mean=8.444;Max=27;std_dev=6.723
ansible/awx,PYTHON,help wanted,,,,,True,,
apache/airflow,PYTHON,Help Wanted,,,,,True,,
astropy/astropy,PYTHON,Hacktoberfest,4.586E-11,False,0.5680457,large,False,Min=0;Median=1.000;Mean=1.126;Max=8;std_dev=1.296,Min=0;Median=0.000;Mean=0.023;Max=1;std_dev=0.152
aws/aws-cli,PYTHON,help wanted,2.200E-16,False,0.4469836,medium,False,Min=0;Median=2.000;Mean=1.777;Max=7;std_dev=1.393,Min=0;Median=0.000;Mean=0.751;Max=5;std_dev=1.001
Azure/azure-cli,PYTHON,help wanted,2.200E-16,False,0.8300265,large,False,Min=0;Median=3.000;Mean=3.187;Max=26;std_dev=2.569,Min=0;Median=0.000;Mean=0.312;Max=2;std_dev=0.552
beetbox/beets,PYTHON,bitesize,2.200E-16,False,0.5154535,large,False,Min=0;Median=1.000;Mean=1.102;Max=8;std_dev=1.131,Min=0;Median=0.000;Mean=0.195;Max=2;std_dev=0.452
biopython/biopython,PYTHON,help wanted,2.200E-16,False,0.4241901,medium,False,Min=0;Median=1.000;Mean=0.829;Max=7;std_dev=0.966,Min=0;Median=0.000;Mean=0.164;Max=2;std_dev=0.434
blaze/blaze,PYTHON,easy,3.026E-01,False,-0.04891472,negligible,False,Min=0;Median=0.000;Mean=0.155;Max=3;std_dev=0.413,Min=0;Median=0.000;Mean=0.203;Max=2;std_dev=0.443
blockstack/blockstack-core,PYTHON,help wanted,1.566E-04,False,0.1636835,small,False,Min=0;Median=0.000;Mean=0.289;Max=4;std_dev=0.580,Min=0;Median=0.000;Mean=0.089;Max=2;std_dev=0.313
bokeh/bokeh,PYTHON,good first issue,2.200E-16,False,0.5693112,large,False,Min=0;Median=1.000;Mean=1.457;Max=7;std_dev=1.419,Min=0;Median=0.000;Mean=0.226;Max=2;std_dev=0.492
boto/boto,PYTHON,support,2.200E-16,False,-0.4851297,large,False,Min=0;Median=0.000;Mean=1.279;Max=12;std_dev=2.046,Min=0;Median=3.000;Mean=2.775;Max=10;std_dev=2.104
buildbot/buildbot,PYTHON,good first issue,4.992E-01,False,0.03122922,negligible,False,Min=0;Median=1.000;Mean=1.153;Max=5;std_dev=1.088,Min=0;Median=1.000;Mean=1.092;Max=5;std_dev=1.067
celery/celery,PYTHON,good first issue,2.200E-16,False,0.3849246,medium,False,Min=0;Median=2.000;Mean=2.445;Max=9;std_dev=1.662,Min=0;Median=1.000;Mean=1.540;Max=65;std_dev=3.477
certbot/certbot,PYTHON,good first issue,,,,,True,,
ckan/ckan,PYTHON,Easy,1.194E-09,False,0.3250461,small,False,Min=0;Median=1.000;Mean=0.887;Max=5;std_dev=1.044,Min=0;Median=0.000;Mean=0.310;Max=3;std_dev=0.570
cloudera/hue,PYTHON,good first issue,1.905E-06,False,0.3564312,medium,False,Min=0;Median=1.000;Mean=0.925;Max=4;std_dev=1.071,Min=0;Median=0.000;Mean=0.330;Max=6;std_dev=0.643
cobbler/cobbler,PYTHON,Good first issue,1.071E-01,False,0.1253342,negligible,False,Min=0;Median=0.500;Mean=0.636;Max=3;std_dev=0.750,Min=0;Median=0.000;Mean=0.494;Max=3;std_dev=0.750
conda/conda,PYTHON,help-wanted,1.370E-11,False,0.4567677,medium,False,Min=0;Median=1.000;Mean=0.985;Max=5;std_dev=1.065,Min=0;Median=0.000;Mean=0.187;Max=2;std_dev=0.456
cupy/cupy,PYTHON,good-first-issue,9.266E-02,False,0.1205674,negligible,False,Min=0;Median=1.000;Mean=0.806;Max=9;std_dev=1.241,Min=0;Median=0.000;Mean=0.559;Max=3;std_dev=0.761
cython/cython,PYTHON,help wanted,,,,,True,,
dask/dask,PYTHON,good first issue,9.452E-13,False,0.5777152,large,False,Min=0;Median=1.000;Mean=1.756;Max=9;std_dev=1.644,Min=0;Median=0.000;Mean=0.333;Max=4;std_dev=0.690
DataDog/dd-agent,PYTHON,community,4.221E-08,False,0.2465102,small,False,Min=0;Median=0.000;Mean=1.022;Max=8;std_dev=1.478,Min=0;Median=0.000;Mean=0.350;Max=3;std_dev=0.642
davidhalter/jedi,PYTHON,help-wanted,4.723E-03,False,0.1185157,negligible,False,Min=0;Median=0.000;Mean=0.457;Max=3;std_dev=0.672,Min=0;Median=0.000;Mean=0.303;Max=3;std_dev=0.579
divio/django-cms,PYTHON,Hacktoberfest,9.842E-01,True,0.0008452042,negligible,False,Min=0;Median=1.000;Mean=0.836;Max=7;std_dev=1.048,Min=0;Median=0.000;Mean=0.870;Max=7;std_dev=1.148
django-oscar/django-oscar,PYTHON,help wanted,9.988E-02,False,-0.0735146,negligible,False,Min=0;Median=0.000;Mean=0.599;Max=4;std_dev=0.767,Min=0;Median=1.000;Mean=0.752;Max=5;std_dev=0.934
encode/django-rest-framework,PYTHON,help wanted,5.329E-03,False,0.1354469,negligible,False,Min=0;Median=3.000;Mean=3.647;Max=12;std_dev=2.172,Min=0;Median=3.000;Mean=3.250;Max=12;std_dev=2.783
enigmampc/catalyst,PYTHON,Help Wanted,,,,,True,,
explosion/spaCy,PYTHON,help wanted,2.200E-16,False,0.7299573,large,False,Min=0;Median=2.000;Mean=2.158;Max=10;std_dev=1.641,Min=0;Median=0.000;Mean=0.275;Max=4;std_dev=0.684
fail2ban/fail2ban,PYTHON,easyfix,,,,,True,,
Flexget/Flexget,PYTHON,Help wanted,2.785E-05,False,0.1857375,small,False,Min=0;Median=1.000;Mean=0.797;Max=4;std_dev=0.912,Min=0;Median=0.000;Mean=0.500;Max=3;std_dev=0.752
fonttools/fonttools,PYTHON,help-wanted,6.794E-08,False,0.2238445,small,False,Min=0;Median=0.000;Mean=0.425;Max=3;std_dev=0.625,Min=0;Median=0.000;Mean=0.165;Max=3;std_dev=0.459
fossasia/open-event-server,PYTHON,help-wanted,,,,,True,,
frappe/erpnext,PYTHON,support,2.200E-16,False,0.592929,large,False,Min=0;Median=1.000;Mean=1.481;Max=24;std_dev=1.920,Min=0;Median=0.000;Mean=0.145;Max=2;std_dev=0.370
frappe/frappe,PYTHON,hacktoberfest,2.200E-16,False,0.7365264,large,False,Min=0;Median=2.000;Mean=3.123;Max=20;std_dev=2.764,Min=0;Median=0.000;Mean=0.704;Max=4;std_dev=1.030
freedomofpress/securedrop,PYTHON,help wanted,6.972E-08,False,0.3106576,small,False,Min=0;Median=0.000;Mean=0.442;Max=6;std_dev=0.824,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
freqtrade/freqtrade,PYTHON,Good first issue,4.902E-03,False,0.2930693,small,False,Min=0;Median=1.000;Mean=1.109;Max=6;std_dev=1.476,Min=0;Median=0.000;Mean=0.400;Max=3;std_dev=0.814
getnikola/nikola,PYTHON,help wanted,1.173E-02,False,-0.1529443,small,False,Min=0;Median=0.000;Mean=0.446;Max=3;std_dev=0.634,Min=0;Median=0.000;Mean=0.741;Max=4;std_dev=0.959
getredash/redash,PYTHON,help wanted,2.200E-16,False,0.7086069,large,False,Min=0;Median=2.000;Mean=1.790;Max=6;std_dev=1.401,Min=0;Median=0.000;Mean=0.181;Max=2;std_dev=0.446
getsentry/sentry,PYTHON,Easy Task,6.938E-02,False,0.08342361,negligible,False,Min=0;Median=1.000;Mean=1.404;Max=42;std_dev=2.633,Min=0;Median=1.000;Mean=1.045;Max=6;std_dev=1.029
git-cola/git-cola,PYTHON,help wanted,7.060E-04,False,0.1842105,small,False,Min=0;Median=0.000;Mean=0.215;Max=3;std_dev=0.484,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
googleapis/google-cloud-python,PYTHON,good first issue,2.390E-04,False,0.1941422,small,False,Min=0;Median=1.000;Mean=1.176;Max=5;std_dev=1.393,Min=0;Median=0.000;Mean=0.680;Max=5;std_dev=1.016
internetarchive/openlibrary,PYTHON,hacktoberfest,1.559E-10,False,0.2411874,small,False,Min=0;Median=0.000;Mean=0.438;Max=16;std_dev=1.224,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
ipython/ipython,PYTHON,good first issue,,,,,True,,
keras-team/keras,PYTHON,stat:contributions welcome,,,,,True,,
Kinto/kinto,PYTHON,easy-pick,,,,,True,,
kivy/kivy,PYTHON,easy,,,,,True,,
lbryio/lbry-sdk,PYTHON,help wanted,8.752E-05,False,0.2241098,small,False,Min=0;Median=0.000;Mean=0.529;Max=10;std_dev=1.188,Min=0;Median=0.000;Mean=0.111;Max=2;std_dev=0.354
mailpile/Mailpile,PYTHON,Low Hanging Fruit,9.053E-09,False,0.2982364,small,False,Min=0;Median=0.000;Mean=0.533;Max=8;std_dev=0.964,Min=0;Median=0.000;Mean=0.043;Max=2;std_dev=0.252
matplotlib/matplotlib,PYTHON,Good first issue,1.144E-11,False,0.7387393,large,False,Min=0;Median=2.000;Mean=2.854;Max=19;std_dev=2.398,Min=0;Median=0.000;Mean=0.414;Max=2;std_dev=0.628
matrix-org/synapse,PYTHON,good first issue,2.200E-16,False,0.5433647,large,False,Min=0;Median=1.000;Mean=1.745;Max=17;std_dev=1.769,Min=0;Median=0.000;Mean=0.441;Max=4;std_dev=0.807
mesonbuild/meson,PYTHON,help wanted,2.200E-16,False,0.7396917,large,False,Min=0;Median=2.000;Mean=2.410;Max=12;std_dev=2.055,Min=0;Median=0.000;Mean=0.171;Max=3;std_dev=0.466
mirumee/saleor,PYTHON,Hacktoberfest,2.200E-16,False,0.4807262,large,False,Min=0;Median=1.000;Mean=1.057;Max=14;std_dev=1.450,Min=0;Median=0.000;Mean=0.122;Max=3;std_dev=0.415
mitmproxy/mitmproxy,PYTHON,help wanted,2.200E-16,False,0.456429,medium,False,Min=0;Median=1.000;Mean=1.103;Max=6;std_dev=1.153,Min=0;Median=0.000;Mean=0.254;Max=3;std_dev=0.543
mopidy/mopidy,PYTHON,good first issue,1.351E-07,False,0.1983132,small,False,Min=0;Median=0.000;Mean=0.361;Max=6;std_dev=0.682,Min=0;Median=0.000;Mean=0.099;Max=3;std_dev=0.369
mozilla/kuma,PYTHON,good first issue,1.957E-01,False,-0.06034452,negligible,False,Min=0;Median=0.000;Mean=0.338;Max=3;std_dev=0.650,Min=0;Median=0.000;Mean=0.411;Max=3;std_dev=0.667
mypaint/mypaint,PYTHON,bitesize,,,,,True,,
networkx/networkx,PYTHON,Good First Issue,2.200E-16,False,0.5511589,large,False,Min=0;Median=1.000;Mean=1.652;Max=7;std_dev=1.457,Min=0;Median=0.000;Mean=0.387;Max=3;std_dev=0.679
nltk/nltk,PYTHON,good first issue,2.200E-16,False,0.5343058,large,False,Min=0;Median=1.000;Mean=0.837;Max=5;std_dev=0.956,Min=0;Median=0.000;Mean=0.016;Max=1;std_dev=0.127
Nuitka/Nuitka,PYTHON,help wanted,2.193E-11,False,0.2446357,small,False,Min=0;Median=0.000;Mean=0.378;Max=5;std_dev=0.700,Min=0;Median=0.000;Mean=0.049;Max=1;std_dev=0.215
numba/numba,PYTHON,easy,1.372E-05,False,0.2241875,small,False,Min=0;Median=0.000;Mean=0.720;Max=6;std_dev=1.018,Min=0;Median=0.000;Mean=0.305;Max=3;std_dev=0.609
numenta/nupic,PYTHON,newbie,2.922E-01,False,-0.08224715,negligible,False,Min=0;Median=0.000;Mean=0.234;Max=3;std_dev=0.502,Min=0;Median=0.000;Mean=0.483;Max=5;std_dev=1.090
OpenMined/PySyft,PYTHON,hacktoberfest,6.101E-03,False,0.2169358,small,False,Min=0;Median=2.000;Mean=2.089;Max=7;std_dev=1.443,Min=0;Median=1.000;Mean=1.752;Max=13;std_dev=2.100
openshift/openshift-ansible,PYTHON,help wanted,1.742E-10,False,0.3914088,medium,False,Min=0;Median=2.000;Mean=2.413;Max=12;std_dev=2.479,Min=0;Median=1.000;Mean=0.876;Max=5;std_dev=1.031
oppia/oppia,PYTHON,good first issue,,,,,True,,
pandas-dev/pandas,PYTHON,good first issue,2.200E-16,False,0.8940428,large,False,Min=0;Median=6.000;Mean=7.225;Max=119;std_dev=7.515,Min=0;Median=0.000;Mean=0.530;Max=4;std_dev=0.877
pantsbuild/pants,PYTHON,good first issue,2.199E-09,False,0.3512494,medium,False,Min=0;Median=0.000;Mean=0.588;Max=10;std_dev=0.899,Min=0;Median=0.000;Mean=0.093;Max=2;std_dev=0.330
polyaxon/polyaxon,PYTHON,help wanted,3.371E-05,False,0.2496528,small,False,Min=0;Median=0.000;Mean=0.312;Max=3;std_dev=0.566,Min=0;Median=0.000;Mean=0.017;Max=1;std_dev=0.129
PrefectHQ/prefect,PYTHON,good first issue,,,,,True,,
psf/requests,PYTHON,Contributor Friendly,,,,,True,,
pyca/cryptography,PYTHON,good first issue,3.563E-01,False,0.07504363,negligible,False,Min=0;Median=1.000;Mean=0.749;Max=4;std_dev=0.851,Min=0;Median=0.000;Mean=0.646;Max=3;std_dev=0.838
pyinstaller/pyinstaller,PYTHON,good first issue,2.200E-16,False,0.4774347,large,False,Min=0;Median=1.000;Mean=1.278;Max=5;std_dev=1.185,Min=0;Median=0.000;Mean=0.338;Max=3;std_dev=0.576
pymc-devs/pymc3,PYTHON,beginner friendly,2.200E-16,False,0.4290976,medium,False,Min=0;Median=1.000;Mean=0.922;Max=6;std_dev=1.128,Min=0;Median=0.000;Mean=0.158;Max=2;std_dev=0.390
pypa/pip,PYTHON,good first issue,,,,,True,,
pypa/pipenv,PYTHON,help wanted,,,,,True,,
pytest-dev/pytest,PYTHON,status: help wanted,,,,,True,,
python/mypy,PYTHON,good-first-issue,2.200E-16,False,0.6755803,large,False,Min=0;Median=1.000;Mean=1.682;Max=14;std_dev=1.818,Min=0;Median=0.000;Mean=0.105;Max=3;std_dev=0.390
