owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
xenia-project/xenia,C++,good first issue,8.082E-05,False,0.2495275,small,False,Min=0;Median=0.000;Mean=0.334;Max=4;std_dev=0.629,Min=0;Median=0.000;Mean=0.019;Max=1;std_dev=0.139
yandex/ClickHouse,C++,hacktoberfest,2.200E-16,False,0.742212,large,False,Min=0;Median=3.000;Mean=4.048;Max=43;std_dev=4.080,Min=0;Median=0.000;Mean=0.667;Max=6;std_dev=1.143
zcash/zcash,C++,community,,,,,True,,
zeroc-ice/ice,C++,easy,2.830E-02,False,0.07467013,negligible,False,Min=0;Median=0.000;Mean=0.164;Max=2;std_dev=0.413,Min=0;Median=0.000;Mean=0.079;Max=2;std_dev=0.293
akkadotnet/akka.net,C#,up for grabs,,,,,True,,
AngleSharp/AngleSharp,C#,up-for-grabs,1.310E-04,False,0.1582533,small,False,Min=0;Median=0.000;Mean=0.215;Max=3;std_dev=0.484,Min=0;Median=0.000;Mean=0.031;Max=1;std_dev=0.173
aspnet/AspNetCore.Docs,C#,Good first issue,2.200E-16,False,0.5813063,large,False,Min=0;Median=6.000;Mean=6.086;Max=33;std_dev=3.569,Min=0;Median=2.000;Mean=2.967;Max=20;std_dev=3.407
aspnet/AspNetCore,C#,good first issue,4.707E-10,False,0.3688366,medium,False,Min=0;Median=2.000;Mean=2.859;Max=20;std_dev=3.172,Min=0;Median=0.000;Mean=0.791;Max=6;std_dev=1.223
aspnet/Extensions,C#,good first issue,5.286E-09,False,0.2985718,small,False,Min=0;Median=0.000;Mean=0.992;Max=6;std_dev=1.331,Min=0;Median=0.000;Mean=0.303;Max=4;std_dev=0.734
AvaloniaUI/Avalonia,C#,up-for-grabs,4.121E-08,False,0.3658854,medium,False,Min=0;Median=0.000;Mean=0.704;Max=11;std_dev=1.213,Min=0;Median=0.000;Mean=0.062;Max=2;std_dev=0.302
aws/aws-sdk-net,C#,small,6.108E-05,False,0.1600733,small,False,Min=0;Median=0.000;Mean=0.448;Max=3;std_dev=0.698,Min=0;Median=0.000;Mean=0.224;Max=3;std_dev=0.485
Azure/azure-powershell,C#,Up for grabs,,,,,True,,
Azure/azure-sdk-for-net,C#,good first issue,2.200E-16,False,0.8141093,large,False,Min=0;Median=6.000;Mean=6.316;Max=31;std_dev=4.254,Min=0;Median=1.000;Mean=1.453;Max=9;std_dev=1.703
castleproject/Windsor,C#,up-for-grabs,5.654E-01,True,0.02422777,negligible,False,Min=0;Median=0.000;Mean=0.180;Max=4;std_dev=0.475,Min=0;Median=0.000;Mean=0.129;Max=1;std_dev=0.338
cefsharp/CefSharp,C#,up-for-grabs,4.048E-16,False,0.3570968,medium,False,Min=0;Median=0.000;Mean=0.592;Max=4;std_dev=0.772,Min=0;Median=0.000;Mean=0.110;Max=2;std_dev=0.382
CosmosOS/Cosmos,C#,Up for Grabs,,,,,True,,
dotnet/cli,C#,community,2.628E-10,False,-0.4246832,medium,False,Min=0;Median=0.000;Mean=0.728;Max=4;std_dev=0.943,Min=0;Median=1.000;Mean=1.624;Max=5;std_dev=1.285
dotnet/coreclr,C#,easy,1.676E-04,False,-0.2290031,small,False,Min=0;Median=1.000;Mean=1.888;Max=14;std_dev=2.398,Min=0;Median=2.000;Mean=2.494;Max=23;std_dev=2.495
dotnet/corert,C#,up-for-grabs,,,,,True,,
dotnet/roslyn,C#,Community,,,,,True,,
duplicati/duplicati,C#,hacktoberfest,1.606E-01,False,0.07099508,negligible,False,Min=0;Median=0.000;Mean=0.512;Max=4;std_dev=0.750,Min=0;Median=0.000;Mean=0.427;Max=5;std_dev=0.760
elastic/elasticsearch-net,C#,Support,1.886E-06,False,0.2149904,small,False,Min=0;Median=0.000;Mean=0.644;Max=4;std_dev=0.879,Min=0;Median=0.000;Mean=0.295;Max=2;std_dev=0.559
gitextensions/gitextensions,C#,up-for-grabs,1.019E-15,False,0.5158598,large,False,Min=0;Median=1.000;Mean=0.773;Max=7;std_dev=0.939,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
github-for-unity/Unity,C#,up-for-grabs,,,,,True,,
github/VisualStudio,C#,good first issue,9.707E-01,True,-0.001649582,negligible,False,Min=0;Median=0.000;Mean=0.208;Max=3;std_dev=0.483,Min=0;Median=0.000;Mean=0.220;Max=3;std_dev=0.521
jellyfin/jellyfin,C#,good first issue,,,,,True,,
MahApps/MahApps.Metro,C#,jump in,9.956E-01,True,-0.0003730995,negligible,False,Min=0;Median=0.000;Mean=0.477;Max=4;std_dev=0.788,Min=0;Median=0.000;Mean=0.479;Max=4;std_dev=0.790
mono/mono,C#,good first issue,5.691E-01,True,0.02789009,negligible,False,Min=0;Median=1.000;Mean=1.598;Max=8;std_dev=1.322,Min=0;Median=1.000;Mean=1.566;Max=7;std_dev=1.381
mono/monodevelop,C#,up-for-grabs,3.206E-01,False,-0.04213422,negligible,False,Min=0;Median=0.000;Mean=0.552;Max=15;std_dev=1.339,Min=0;Median=0.000;Mean=0.501;Max=4;std_dev=0.754
MonoGame/MonoGame,C#,Good First Issue,5.978E-01,True,0.03111553,negligible,False,Min=0;Median=1.000;Mean=0.864;Max=5;std_dev=0.943,Min=0;Median=1.000;Mean=0.864;Max=4;std_dev=1.058
MvvmCross/MvvmCross,C#,up-for-grabs,2.116E-08,False,0.4663175,medium,False,Min=0;Median=1.000;Mean=0.856;Max=7;std_dev=1.088,Min=0;Median=0.000;Mean=0.068;Max=1;std_dev=0.255
NancyFx/Nancy,C#,Up for Grabs,5.385E-02,False,-0.09725275,negligible,False,Min=0;Median=0.000;Mean=0.606;Max=5;std_dev=0.946,Min=0;Median=0.000;Mean=0.715;Max=3;std_dev=0.874
nhibernate/nhibernate-core,C#,good first issue,3.049E-02,False,-0.09425687,negligible,False,Min=0;Median=0.000;Mean=0.374;Max=2;std_dev=0.591,Min=0;Median=0.000;Mean=0.534;Max=4;std_dev=0.770
NLog/NLog,C#,up-for-grabs,,,,,True,,
NuGet/NuGetGallery,C#,Up for Grabs,,,,,True,,
nunit/nunit,C#,good first issue,,,,,True,,
opentk/opentk,C#,good first issue,4.004E-02,False,0.09406633,negligible,False,Min=0;Median=0.000;Mean=0.407;Max=3;std_dev=0.608,Min=0;Median=0.000;Mean=0.304;Max=2;std_dev=0.562
PowerShell/PowerShell,C#,Hacktoberfest,,,,,True,,
ppy/osu,C#,good-first-issue,7.977E-16,False,0.4585865,medium,False,Min=0;Median=1.000;Mean=1.772;Max=12;std_dev=1.866,Min=0;Median=0.000;Mean=0.570;Max=7;std_dev=0.980
QuantConnect/Lean,C#,up for grabs,,,,,True,,
SixLabors/ImageSharp,C#,hacktoberfest,,,,,True,,
Sonarr/Sonarr,C#,up-for-grabs,6.525E-15,False,0.3495645,medium,False,Min=0;Median=0.000;Mean=0.635;Max=4;std_dev=0.837,Min=0;Median=0.000;Mean=0.131;Max=2;std_dev=0.371
umbraco/Umbraco-CMS,C#,good first issue,4.439E-08,False,0.33903,medium,False,Min=0;Median=2.000;Mean=2.725;Max=18;std_dev=2.825,Min=0;Median=1.000;Mean=1.460;Max=13;std_dev=1.713
VsVim/VsVim,C#,good first issue,1.068E-01,False,0.04390275,negligible,False,Min=0;Median=0.000;Mean=0.126;Max=3;std_dev=0.364,Min=0;Median=0.000;Mean=0.073;Max=1;std_dev=0.262
xamarin/xamarin-macios,C#,community,,,,,True,,
cilium/cilium,GO,good-first-issue,2.617E-11,False,0.6075472,large,False,Min=0;Median=1.000;Mean=1.487;Max=17;std_dev=1.962,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
cloudfoundry/cli,GO,Easy,1.631E-01,False,-0.06866102,negligible,False,Min=0;Median=0.000;Mean=0.453;Max=3;std_dev=0.672,Min=0;Median=0.000;Mean=0.621;Max=4;std_dev=0.905
cockroachdb/cockroach,GO,E-easy,5.327E-12,False,0.4951473,large,False,Min=0;Median=1.000;Mean=1.783;Max=51;std_dev=3.404,Min=0;Median=0.000;Mean=0.319;Max=2;std_dev=0.577
concourse/concourse,GO,good first issue,5.512E-10,False,0.4162204,medium,False,Min=0;Median=1.000;Mean=0.994;Max=6;std_dev=1.146,Min=0;Median=0.000;Mean=0.244;Max=3;std_dev=0.648
containers/libpod,GO,Good First Issue,8.549E-13,False,0.6916138,large,False,Min=0;Median=2.000;Mean=2.333;Max=16;std_dev=2.330,Min=0;Median=0.000;Mean=0.349;Max=3;std_dev=0.686
cosmos/cosmos-sdk,GO,good first issue,2.200E-16,False,0.6756711,large,False,Min=0;Median=1.000;Mean=1.615;Max=20;std_dev=2.107,Min=0;Median=0.000;Mean=0.037;Max=1;std_dev=0.190
elastic/beats,GO,good first issue,2.200E-16,False,0.7861774,large,False,Min=0;Median=2.000;Mean=2.746;Max=25;std_dev=2.406,Min=0;Median=0.000;Mean=0.214;Max=5;std_dev=0.731
etcd-io/etcd,GO,good first issue,1.529E-03,False,0.1829741,small,False,Min=0;Median=2.000;Mean=2.653;Max=10;std_dev=1.731,Min=0;Median=2.000;Mean=2.141;Max=10;std_dev=1.604
ethereum/go-ethereum,GO,good first issue,2.200E-16,False,0.8006761,large,False,Min=0;Median=3.000;Mean=3.373;Max=13;std_dev=2.363,Min=0;Median=0.000;Mean=0.488;Max=4;std_dev=0.799
flynn/flynn,GO,complexity/easy,5.313E-03,False,0.1565934,small,False,Min=0;Median=0.000;Mean=0.300;Max=6;std_dev=0.713,Min=0;Median=0.000;Mean=0.054;Max=1;std_dev=0.227
git-lfs/git-lfs,GO,good first issue,7.842E-01,True,0.01532972,negligible,False,Min=0;Median=0.000;Mean=0.566;Max=4;std_dev=0.754,Min=0;Median=0.000;Mean=0.610;Max=10;std_dev=0.988
go-gitea/gitea,GO,good first issue,,,,,True,,
goharbor/harbor,GO,community,6.303E-08,False,0.3852186,medium,False,Min=0;Median=1.500;Mean=1.785;Max=11;std_dev=1.545,Min=0;Median=1.000;Mean=0.862;Max=5;std_dev=1.014
golang/go,GO,Community,2.200E-16,False,0.8708315,large,False,Min=0;Median=5.000;Mean=5.171;Max=14;std_dev=3.136,Min=0;Median=0.000;Mean=0.424;Max=4;std_dev=0.725
gonum/gonum,GO,good first issue,,,,,True,,
hashicorp/consul,GO,Hacktoberfest,1.341E-02,False,0.1390567,negligible,False,Min=0;Median=2.000;Mean=2.630;Max=29;std_dev=2.552,Min=0;Median=2.000;Mean=2.112;Max=9;std_dev=1.694
hashicorp/packer,GO,good first issue,,,,,True,,
hashicorp/terraform,GO,good first issue,2.040E-02,False,-0.1364758,negligible,False,Min=0;Median=4.000;Mean=4.581;Max=14;std_dev=2.430,Min=0;Median=5.000;Mean=6.723;Max=33;std_dev=6.225
hashicorp/vault,GO,good-first-issue,1.625E-07,False,0.3454927,medium,False,Min=0;Median=4.000;Mean=4.955;Max=27;std_dev=3.631,Min=0;Median=3.000;Mean=3.248;Max=13;std_dev=2.203
hyperledger/fabric,GO,good first issue,1.325E-01,False,0.3491162,medium,False,Min=1;Median=2.000;Mean=2.833;Max=6;std_dev=2.137,Min=0;Median=1.000;Mean=1.572;Max=8;std_dev=1.369
influxdata/influxdb,GO,support,3.205E-02,False,0.1448297,negligible,False,Min=0;Median=1.000;Mean=1.601;Max=9;std_dev=1.597,Min=0;Median=1.000;Mean=1.198;Max=7;std_dev=1.309
ipfs/go-ipfs,GO,good first issue,7.607E-02,False,0.148048,small,False,Min=0;Median=1.000;Mean=1.114;Max=9;std_dev=1.151,Min=0;Median=0.500;Mean=0.860;Max=5;std_dev=1.107
jenkins-x/jx,GO,good first issue,,,,,True,,
jpmorganchase/quorum,GO,good first issue,5.578E-02,False,0.1675849,small,False,Min=0;Median=0.000;Mean=0.448;Max=3;std_dev=0.668,Min=0;Median=0.000;Mean=0.229;Max=2;std_dev=0.490
kubernetes/community,GO,good first issue,4.115E-08,False,0.4026693,medium,False,Min=0;Median=4.000;Mean=4.761;Max=20;std_dev=2.751,Min=0;Median=2.000;Mean=2.888;Max=12;std_dev=2.882
kubernetes/kops,GO,good first issue,,,,,True,,
kubernetes/kubernetes,GO,good first issue,2.200E-16,False,0.8667406,large,False,Min=3;Median=13.000;Mean=14.142;Max=63;std_dev=6.828,Min=0;Median=4.000;Mean=4.583;Max=15;std_dev=3.148
kubernetes/minikube,GO,good first issue,1.097E-07,False,0.4567376,medium,False,Min=0;Median=3.000;Mean=3.247;Max=11;std_dev=2.191,Min=0;Median=2.000;Mean=1.722;Max=8;std_dev=1.406
kubernetes/test-infra,GO,good first issue,2.200E-16,False,0.7334962,large,False,Min=0;Median=4.000;Mean=5.096;Max=34;std_dev=3.877,Min=0;Median=1.000;Mean=1.477;Max=9;std_dev=1.752
kubevirt/kubevirt,GO,good-first-issue,3.908E-06,False,0.4355397,medium,False,Min=0;Median=1.000;Mean=1.191;Max=23;std_dev=2.106,Min=0;Median=0.000;Mean=0.256;Max=2;std_dev=0.498
lightningnetwork/lnd,GO,beginner,1.056E-07,False,0.5461806,large,False,Min=0;Median=1.000;Mean=1.341;Max=9;std_dev=1.546,Min=0;Median=0.000;Mean=0.156;Max=2;std_dev=0.448
lxc/lxd,GO,Easy,,,,,True,,
mattermost/mattermost-server,GO,Up For Grabs,7.739E-01,True,-0.02217023,negligible,False,Min=0;Median=2.000;Mean=2.466;Max=31;std_dev=3.207,Min=0;Median=2.000;Mean=2.279;Max=8;std_dev=1.923
minio/minio,GO,community,4.846E-16,False,0.645678,large,False,Min=0;Median=1.000;Mean=1.493;Max=8;std_dev=1.445,Min=0;Median=0.000;Mean=0.121;Max=1;std_dev=0.329
openshift/origin,GO,good first issue,8.122E-03,False,0.1641473,small,False,Min=0;Median=2.000;Mean=2.050;Max=14;std_dev=1.918,Min=0;Median=1.000;Mean=1.496;Max=8;std_dev=1.276
perkeep/perkeep,GO,Easy,6.389E-05,False,0.09558824,negligible,False,Min=0;Median=0.000;Mean=0.098;Max=2;std_dev=0.306,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
pilosa/pilosa,GO,newcomer,9.071E-03,False,0.09260749,negligible,False,Min=0;Median=0.000;Mean=0.133;Max=2;std_dev=0.365,Min=0;Median=0.000;Mean=0.040;Max=2;std_dev=0.244
pingcap/tidb,GO,good first issue,6.568E-06,False,0.4688057,medium,False,Min=0;Median=2.000;Mean=2.571;Max=49;std_dev=4.045,Min=0;Median=0.000;Mean=0.636;Max=4;std_dev=0.929
prometheus/prometheus,GO,hacktoberfest,,,,,True,,
rkt/rkt,GO,low hanging fruit,,,,,True,,
sylabs/singularity,GO,community,,,,,True,,
syncthing/syncthing,GO,good first issue,,,,,True,,
tendermint/tendermint,GO,good first issue,2.200E-16,False,0.5315903,large,False,Min=0;Median=1.000;Mean=0.983;Max=8;std_dev=1.233,Min=0;Median=0.000;Mean=0.032;Max=1;std_dev=0.177
terraform-providers/terraform-provider-aws,GO,good first issue,,,,,True,,
terraform-providers/terraform-provider-azurerm,GO,good first issue,,,,,True,,
tsuru/tsuru,GO,easy,,,,,True,,
vitessio/vitess,GO,Good First Issue,2.200E-16,False,0.4358855,medium,False,Min=0;Median=1.000;Mean=1.298;Max=19;std_dev=1.714,Min=0;Median=0.000;Mean=0.359;Max=4;std_dev=0.638
weaveworks/scope,GO,good-first-issue,2.160E-02,False,0.1889251,small,False,Min=0;Median=0.000;Mean=0.397;Max=8;std_dev=0.885,Min=0;Median=0.000;Mean=0.094;Max=1;std_dev=0.296
weaveworks/weave,GO,good first issue,7.000E-01,True,0.01907203,negligible,False,Min=0;Median=0.000;Mean=0.317;Max=4;std_dev=0.591,Min=0;Median=0.000;Mean=0.284;Max=3;std_dev=0.541
AntennaPod/AntennaPod,JAVA,Good first issue,1.956E-03,False,0.2038123,small,False,Min=0;Median=0.000;Mean=0.607;Max=7;std_dev=0.944,Min=0;Median=0.000;Mean=0.269;Max=3;std_dev=0.566
apache/incubator-druid,JAVA,Starter,,,,,True,,
apache/incubator-shardingsphere,JAVA,good first issue,2.200E-16,False,0.6857442,large,False,Min=0;Median=3.000;Mean=3.167;Max=21;std_dev=3.135,Min=0;Median=0.000;Mean=0.613;Max=4;std_dev=0.914
apache/skywalking,JAVA,good first issue,2.200E-16,False,0.7958623,large,False,Min=0;Median=2.000;Mean=2.088;Max=10;std_dev=1.743,Min=0;Median=0.000;Mean=0.094;Max=1;std_dev=0.293
ballerina-platform/ballerina-lang,JAVA,good first issue,1.062E-01,False,0.1079864,negligible,False,Min=0;Median=1.000;Mean=1.054;Max=16;std_dev=1.847,Min=0;Median=0.000;Mean=1.243;Max=27;std_dev=3.486
bazelbuild/bazel,JAVA,good first issue,2.200E-16,False,0.7328961,large,False,Min=0;Median=2.000;Mean=2.465;Max=11;std_dev=1.935,Min=0;Median=0.000;Mean=0.491;Max=13;std_dev=1.804
bisq-network/bisq,JAVA,good first issue,9.320E-06,False,0.4452855,medium,False,Min=0;Median=0.000;Mean=0.940;Max=10;std_dev=1.403,Min=0;Median=0.000;Mean=0.034;Max=1;std_dev=0.186
checkstyle/checkstyle,JAVA,easy,1.320E-06,False,0.3164431,small,False,Min=0;Median=1.000;Mean=1.129;Max=11;std_dev=1.491,Min=0;Median=0.000;Mean=0.424;Max=3;std_dev=0.697
crate/crate,JAVA,good first issue,7.585E-04,False,0.1434776,negligible,False,Min=0;Median=0.000;Mean=0.260;Max=3;std_dev=0.542,Min=0;Median=0.000;Mean=0.083;Max=2;std_dev=0.308
dbeaver/dbeaver,JAVA,good first issue,1.019E-14,False,0.4776646,large,False,Min=0;Median=1.000;Mean=1.091;Max=7;std_dev=1.118,Min=0;Median=0.000;Mean=0.241;Max=2;std_dev=0.521
eclipse/che,JAVA,level/beginner,4.978E-02,False,0.122766,negligible,False,Min=0;Median=0.000;Mean=0.644;Max=4;std_dev=0.785,Min=0;Median=0.000;Mean=0.489;Max=4;std_dev=0.758
eclipse/openj9,JAVA,good first issue,,,,,True,,
elastic/elasticsearch,JAVA,good first issue,2.200E-16,False,0.9083579,large,False,Min=0;Median=5.000;Mean=5.558;Max=60;std_dev=3.973,Min=0;Median=0.000;Mean=0.472;Max=3;std_dev=0.739
facebook/litho,JAVA,starter-task,,,,,True,,
flowable/flowable-engine,JAVA,good first issue,4.303E-03,False,0.1970355,small,False,Min=0;Median=1.000;Mean=0.860;Max=4;std_dev=0.913,Min=0;Median=0.000;Mean=0.549;Max=4;std_dev=0.793
gchq/Gaffer,JAVA,beginner,7.120E-01,True,0.01936376,negligible,False,Min=0;Median=0.000;Mean=0.187;Max=2;std_dev=0.421,Min=0;Median=0.000;Mean=0.182;Max=2;std_dev=0.461
gocd/gocd,JAVA,good-first-issue,9.851E-03,False,-0.131427,negligible,False,Min=0;Median=0.000;Mean=0.365;Max=3;std_dev=0.634,Min=0;Median=0.000;Mean=0.567;Max=3;std_dev=0.783
Graylog2/graylog2-server,JAVA,low hanging fruit,1.369E-02,False,0.08561521,negligible,False,Min=0;Median=0.000;Mean=0.353;Max=9;std_dev=0.786,Min=0;Median=0.000;Mean=0.211;Max=2;std_dev=0.456
hazelcast/hazelcast,JAVA,good first issue,,,,,True,,
JabRef/jabref,JAVA,good first issue,2.619E-11,False,0.4296492,medium,False,Min=0;Median=1.000;Mean=1.328;Max=9;std_dev=1.551,Min=0;Median=0.000;Mean=0.355;Max=3;std_dev=0.686
JanusGraph/janusgraph,JAVA,good first issue,4.659E-01,False,-0.06234773,negligible,False,Min=0;Median=0.000;Mean=0.533;Max=3;std_dev=0.720,Min=0;Median=1.000;Mean=0.558;Max=2;std_dev=0.590
javaparser/javaparser,JAVA,Easy,1.220E-15,False,0.3264087,small,False,Min=0;Median=0.000;Mean=0.529;Max=4;std_dev=0.757,Min=0;Median=0.000;Mean=0.090;Max=2;std_dev=0.320
jenkinsci/jenkins,JAVA,hacktoberfest,5.592E-01,True,0.02849953,negligible,False,Min=0;Median=2.000;Mean=1.901;Max=16;std_dev=1.791,Min=0;Median=2.000;Mean=1.751;Max=7;std_dev=1.391
jMonkeyEngine/jmonkeyengine,JAVA,Contribution welcome,4.679E-01,False,0.04949992,negligible,False,Min=0;Median=0.000;Mean=0.354;Max=3;std_dev=0.621,Min=0;Median=0.000;Mean=0.294;Max=2;std_dev=0.576
junit-team/junit5,JAVA,up-for-grabs,4.904E-10,False,0.4789454,large,False,Min=0;Median=1.000;Mean=0.772;Max=5;std_dev=0.967,Min=0;Median=0.000;Mean=0.038;Max=1;std_dev=0.192
k9mail/k-9,JAVA,good first issue,7.089E-01,True,-0.01685106,negligible,False,Min=0;Median=0.000;Mean=0.788;Max=13;std_dev=1.245,Min=0;Median=0.000;Mean=0.728;Max=5;std_dev=0.898
languagetool-org/languagetool,JAVA,easy fix,,,,,True,,
